"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"1038-011727","011727","Rákospatak utca / Csömöri út","47.524636","19.117028","","","0","","","","1","",""
"1038-011732","011732","Deák Ferenc tér M","47.499212","19.053658","","","0","","","","1","",""
"1038-011754","011754","Rákospatak utca / Csömöri út","47.524275","19.117811","","","0","","","","1","",""
"1038-011760","011760","Epreserdő utca","47.460114","19.112658","","","0","","","","1","",""
"1038-011761","011761","Epreserdő utca","47.460051","19.113029","","","0","","","","1","",""
"1038-011762","011762","Újpest-városkapu M","47.559063","19.078803","","","0","","","","1","",""
"1038-011765","011765","Boráros tér H","47.479285","19.067812","","","0","","","","2","",""
"1038-011768","011768","Rákoscsaba-Újtelep, Tóalmás utca","47.499272","19.286768","","","0","","","","2","",""
"1038-011773","011773","Keresztúri út","47.484637","19.227764","","","0","","","","1","",""
"1038-016285","F04061","Székelyhíd utca","47.43071","19.115486","","","0","1038-MERGED_F04061","","","2","",""
"1038-016725","016725","Rózsaliget","47.466591","19.15844","","","0","","","","2","",""
"1038-016727","016727","Újbuda-központ M","47.474649","19.046771","","","0","","","","1","",""
"1038-016729","016729","Naphegy tér","47.493472","19.032796","","","0","","","","1","",""
"1038-016764","016764","Kalotaszeg utca","47.458684","19.041056","","","0","","","","1","",""
"1038-016938","016938","Erzsébet királyné útja, aluljáró","47.517865","19.094459","","","0","","","","1","",""
"1038-019313","019313","Rákoskert vasútállomás","47.457296","19.295147","","","0","","","","1","",""
"1038-019314","019314","Schell Gyuláné tér","47.459805","19.299349","","","0","","","","1","",""
"1038-019316","019316","Rákoscsaba vasútállomás","47.49105","19.28283","","","0","","","","1","",""
"1038-022005","022005","Tölgy utca","47.416403","19.205417","","","0","","","","1","",""
"1038-022006","022006","Szenes Iván tér","47.479946","19.095674","","","0","","","","2","",""
"1038-030540","030540","Pesterzsébet, Pacsirtatelep","47.422181","19.122475","","","0","","","","2","",""
"1038-031884","031884","Nagykovácsi, Tisza István tér","47.575789","18.879511","","","0","","","","1","",""
"1038-036236","036236","Szigetszentmiklós H","47.345454","19.048205","","","0","","","","1","",""
"1038-036678","036678","Széll Kálmán tér M","47.50671","19.02524","","","0","","","","1","",""
"1038-037079","037079","Balkán utca","47.473411","19.115211","","","0","","","","2","",""
"1038-037747","037747","Lakihegy, Cseresznyés utca","47.377332","19.007248","","","0","","","","1","",""
"1038-037748","037748","Lakihegy, Cseresznyés utca","47.376792","19.006348","","","0","","","","1","",""
"1038-038670","038670","Kőbánya-Kispest M","47.462319","19.148576","","","0","","","","1","",""
"1038-038671","038671","Kőbánya-Kispest M","47.462283","19.148324","","","0","","","","1","",""
"1038-038673","038673","Kőbánya-Kispest M","47.462624","19.149068","","","0","","","","1","",""
"1038-038674","038674","Kőbánya-Kispest M","47.462967","19.147663","","","0","","","","1","",""
"1038-038675","038675","Kőbánya-Kispest M","47.463193","19.147318","","","0","","","","1","",""
"1038-038678","038678","Kőbánya-Kispest M","47.463048","19.147901","","","0","","","","1","",""
"1038-038680","038680","Kőbánya-Kispest M","47.462922","19.148405","","","0","","","","1","",""
"1038-038681","038681","Kőbánya-Kispest M","47.462795","19.149055","","","0","","","","1","",""
"1038-038682","038682","Kőbánya-Kispest M","47.46284","19.149201","","","0","","","","1","",""
"1038-038683","038683","Kőbánya-Kispest M","47.462976","19.148644","","","0","","","","1","",""
"1038-038686","038686","Kőbánya-Kispest M","47.463435","19.147345","","","0","","","","1","",""
"1038-038687","038687","Kőbánya-Kispest M","47.463282","19.147981","","","0","","","","1","",""
"1038-038693","038693","Kőbánya-Kispest M","47.462935","19.148914","","","0","","","","1","",""
"1038-038717","038717","Deák Ferenc tér M","47.499032","19.05403","","","0","","","","1","",""
"1038-040525","040525","Hentes utca","47.462276","19.08457","","","0","","","","1","",""
"1038-040526","040526","Hentes utca","47.4626","19.084411","","","0","","","","1","",""
"1038-040608","040608","Zsivora park","47.509134","19.148798","","","0","","","","1","",""
"1038-040609","040609","Szent Imre tér H","47.43178","19.067901","","","0","","","","1","",""
"1038-040612","040612","Bányató utca","47.466279","19.165031","","","0","","","","1","",""
"1038-040789","040789","Kerékgyártó utca","47.52099","19.106438","","","0","","","","1","",""
"1038-041092","041092","Csepeli Kórház","47.424595","19.058701","","","0","","","","1","",""
"1038-041093","041093","Duna-lejáró","47.428013","19.058927","","","0","","","","2","",""
"1038-041094","041094","Színesfém utca","47.430513","19.06464","","","0","","","","1","",""
"1038-041095","041095","Szent Imre tér H","47.432014","19.067358","","","0","","","","1","",""
"1038-041209","041209","Boráros tér H","47.479297","19.066963","","","0","","","","2","",""
"1038-042797","042797","Bányató utca","47.465391","19.162933","","","0","","","","1","",""
"1038-042933","042933","Népliget M","47.475851","19.100552","","","0","","","","1","",""
"1038-042934","042934","Soroksár, Bilk","47.378287","19.121299","","","0","","","","2","",""
"1038-043176","043176","Kőbánya-Kispest M","47.461977","19.149544","","","0","","","","1","",""
